,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,salalah,17.0151,54.0924,68.0,68,0,3.44,OM,1611782227
369,balaka,-14.9793,34.9558,70.12,93,100,2.73,MW,1611782695
370,santa maria,-29.6842,-53.8069,73.4,100,75,3.44,BR,1611782695
371,saldanha,-33.0117,17.9442,62.6,67,0,14.97,ZA,1611782191
372,venado,22.9333,-101.0833,72.41,31,51,20.04,MX,1611782696
373,kashi,39.4547,75.9797,23.0,68,0,6.71,CN,1611782225
374,hualmay,-11.0964,-77.6139,76.01,67,79,9.8,PE,1611782204
375,provideniya,64.3833,-173.3,8.6,92,90,24.61,RU,1611782153
376,north platte,41.1239,-100.7654,21.99,73,1,10.36,US,1611782696
377,anadyr,64.75,177.4833,12.2,79,40,31.32,RU,1611782154
378,katangli,51.7102,143.2326,9.09,96,100,11.41,RU,1611782696
379,laguna,38.421,-121.4238,50.0,81,90,14.97,US,1611782179
380,san patricio,28.017,-97.5169,73.4,20,75,13.8,US,1611782152
381,lasa,46.6166,10.7002,32.0,86,0,5.79,IT,1611782147
382,umtata,-31.5889,28.7844,59.0,94,100,3.44,ZA,1611782697
383,xichang,27.8964,102.2634,36.73,78,14,2.77,CN,1611782697
384,brae,60.3964,-1.353,33.8,86,20,6.91,GB,1611782697
385,tuy hoa,13.0833,109.3,70.2,87,89,8.39,VN,1611782697
386,ismailia,30.6043,32.2723,56.55,76,2,11.9,EG,1611782482
387,vao,-22.6667,167.4833,78.26,85,100,20.07,NC,1611782698
388,buraydah,26.326,43.975,60.8,48,0,11.5,SA,1611782548
389,gamba,-2.65,10.0,77.22,89,100,3.8,GA,1611782698
390,kaspiysk,42.8816,47.6392,42.8,87,90,6.71,RU,1611782698
391,ozernovskiy,51.5,156.5167,22.95,89,100,8.21,RU,1611782698
392,sarwar,26.0667,75.0,51.48,44,0,6.82,IN,1611782699
393,narsaq,60.9167,-46.05,37.4,32,75,34.52,GL,1611782699
394,chernyshevskiy,63.0128,112.4714,-46.1,81,42,0.74,RU,1611782699
395,kavaratti,10.5669,72.642,80.47,68,55,9.75,IN,1611782174
396,hagere selam,6.4833,38.5167,48.33,52,0,6.2,ET,1611782195
397,watsa,3.0372,29.5355,72.0,48,47,0.76,CD,1611782699
398,dalbandin,28.8947,64.4101,44.62,40,0,5.46,PK,1611782700
399,savannah bight,16.45,-85.85,84.2,70,20,11.5,HN,1611782224
400,dutlwe,-23.9833,23.9,73.78,69,100,7.34,BW,1611782700
401,alyangula,-13.8483,136.4192,80.6,89,90,5.75,AU,1611782700
402,yenagoa,4.9247,6.2642,79.48,81,100,6.71,NG,1611782700
403,ishigaki,24.3448,124.1572,62.6,77,75,5.75,JP,1611782155
404,snezhnogorsk,69.1933,33.2531,15.8,86,75,8.95,RU,1611782700
405,boyolangu,-8.1181,111.8935,75.87,82,100,2.42,ID,1611782701
406,tambacounda,13.7539,-13.7586,86.0,14,0,6.91,SN,1611782701
407,irbil,36.1926,44.0106,51.8,46,40,1.14,IQ,1611782701
408,wajir,1.7471,40.0573,81.7,47,49,18.92,KE,1611782210
409,dalnerechensk,45.9339,133.7225,-12.12,87,0,2.44,RU,1611782701
410,nishihara,26.1842,127.7558,62.6,67,75,14.97,JP,1611782701
411,san vicente de canete,-13.0751,-76.3835,75.9,65,23,7.58,PE,1611782702
412,pedasi,7.5333,-80.0333,82.47,72,47,10.94,PA,1611782702
413,airai,-8.9266,125.4092,62.01,100,100,3.22,TL,1611782157
414,hue,16.4667,107.6,69.8,94,75,1.14,VN,1611782525
415,hami,42.8,93.45,17.51,83,70,0.49,CN,1611782227
416,kupang,-10.1667,123.5833,79.63,81,100,7.94,ID,1611782153
417,koslan,63.4564,48.8989,27.55,98,98,6.2,RU,1611782702
418,kapuskasing,49.4169,-82.4331,3.2,72,100,9.22,CA,1611782180
419,zaton,53.2936,83.8072,19.4,86,75,13.42,RU,1611782703
420,nokaneng,-19.6667,22.2667,73.09,72,100,2.73,BW,1611782703
421,beckley,37.7782,-81.1882,34.0,75,90,4.61,US,1611782703
422,kavieng,-2.5744,150.7967,83.62,72,100,9.4,PG,1611782146
423,wysokie mazowieckie,52.9166,22.5171,33.01,89,97,8.32,PL,1611782704
424,prince rupert,54.3161,-130.3201,35.6,69,20,2.3,CA,1611782113
425,isla mujeres,21.2311,-86.731,84.0,81,1,11.99,MX,1611782704
426,castelo,-20.6036,-41.1847,78.8,70,2,2.01,BR,1611782704
427,pichayevo,53.2363,42.2032,33.67,93,100,15.35,RU,1611782704
428,winnemucca,40.973,-117.7357,37.99,71,100,8.99,US,1611782705
429,nawabganj,24.5911,88.271,51.62,45,0,6.42,BD,1611782705
430,acapulco,16.8634,-99.8901,84.2,70,75,5.75,MX,1611782536
431,redding,40.5865,-122.3917,48.99,76,90,17.27,US,1611782705
432,warora,20.2333,79.0,69.55,51,2,5.06,IN,1611782705
433,clute,29.0247,-95.3988,69.8,19,1,20.71,US,1611782706
434,emba,48.8264,58.1442,14.97,93,0,12.26,KZ,1611782706
435,labuhan,-6.8844,112.2051,77.25,88,100,10.4,ID,1611782209
436,hamilton,39.1834,-84.5333,34.0,69,90,5.75,US,1611781970
437,inhambane,-23.865,35.3833,79.5,87,22,9.1,MZ,1611782156
438,gulmarg,34.049,74.3921,10.89,82,94,1.9,IN,1611782706
439,henties bay,-22.116,14.2845,68.0,85,11,4.63,NA,1611782201
440,katherine,-14.4667,132.2667,77.0,94,100,2.3,AU,1611782707
441,wenling,28.3669,121.36,50.0,86,94,6.04,CN,1611782707
442,shenjiamen,29.9576,122.298,43.97,84,70,11.59,CN,1611782707
443,clyde river,70.4692,-68.5914,-13.0,77,20,5.75,CA,1611782141
444,bereda,43.2686,-7.5406,57.99,90,100,7.0,ES,1611782445
445,lashio,22.9333,97.75,49.87,78,0,1.79,MM,1611782707
446,conde,-7.2597,-34.9075,80.6,78,40,10.36,BR,1611782425
447,simpang,-1.2667,104.0833,74.23,96,100,3.04,ID,1611782708
448,praia da vitoria,38.7333,-27.0667,59.0,100,20,25.3,PT,1611782426
449,kirkland lake,48.1446,-80.0377,8.6,66,100,7.81,CA,1611782581
450,tahoua,14.8888,5.2692,75.2,9,0,4.61,NE,1611782708
451,rio grande,-32.035,-52.0986,73.4,88,40,6.91,BR,1611782175
452,hansi,29.1,75.9667,48.0,45,0,2.95,IN,1611782581
453,mackay,-21.15,149.2,80.6,78,75,12.66,AU,1611782708
454,corvallis,44.5646,-123.262,39.0,100,90,5.75,US,1611782708
455,helong,42.5397,128.9972,14.23,83,100,2.44,CN,1611782709
456,sao gabriel da cachoeira,-0.1303,-67.0892,81.36,90,99,1.16,BR,1611782576
457,peace river,56.2501,-117.286,-2.2,65,90,16.11,CA,1611782709
458,methana,37.5823,23.3914,44.01,44,42,4.0,GR,1611782709
459,pemba,-12.974,40.5178,80.6,83,20,8.05,MZ,1611782709
460,shimoda,34.6667,138.95,41.0,72,64,5.01,JP,1611782709
461,merauke,-8.4667,140.3333,78.33,89,94,12.5,ID,1611782710
462,sebinkarahisar,40.2883,38.4236,30.97,87,100,7.94,TR,1611782710
463,amudat,1.95,34.95,68.52,52,9,6.82,UG,1611782710
464,daru,-9.0763,143.2092,78.13,85,100,12.41,PG,1611782710
465,naze,28.3667,129.4833,56.93,74,51,13.0,JP,1611782495
466,san quintin,30.4833,-115.95,58.57,46,73,9.95,MX,1611782188
467,beringovskiy,63.05,179.3167,16.02,96,100,27.51,RU,1611782167
468,rundu,-17.9333,19.7667,68.36,88,100,7.4,NA,1611782711
469,biu,10.6129,12.1946,70.92,20,0,10.54,NG,1611782711
470,bambous virieux,-20.3428,57.7575,78.01,88,20,8.05,MU,1611782205
471,pinega,64.7001,43.3936,26.55,99,100,1.97,RU,1611782711
472,mae ramat,16.984,98.5166,68.4,66,1,1.03,TH,1611782711
473,zabol,32.25,67.25,32.14,77,0,5.77,AF,1611782711
474,tazovskiy,67.4667,78.7,-37.59,82,6,4.68,RU,1611782712
475,pilar,-9.5972,-35.9567,77.0,83,75,6.91,BR,1611782712
476,hovd,48.0056,91.6419,1.31,81,10,0.92,MN,1611782712
477,baghdad,33.3406,44.4009,59.0,38,90,12.66,IQ,1611782516
478,comrat,46.3003,28.6572,29.98,97,100,27.07,MD,1611782712
479,hailun,47.45,126.9333,-12.69,88,76,2.75,CN,1611782713
480,tomaszow lubelski,50.4477,23.4162,30.0,90,89,8.01,PL,1611782713
481,vasilsursk,56.1275,46.0072,31.26,97,100,15.73,RU,1611782713
482,ajdabiya,30.7554,20.2263,56.95,56,100,10.31,LY,1611782713
483,san benito,36.6166,-121.0844,48.0,89,100,3.0,US,1611782713
484,burns lake,54.2331,-125.7533,14.0,62,100,3.44,CA,1611782713
485,porto walter,-8.2686,-72.7439,87.21,56,10,4.92,BR,1611782713
486,blagoyevo,63.3667,47.9167,28.78,98,100,6.24,RU,1611782233
487,abaza,52.655,90.0928,22.75,94,100,8.84,RU,1611782529
488,black river,18.0264,-77.8487,84.0,69,20,17.27,JM,1611782714
489,xiaoweizhai,26.1903,107.5125,41.43,79,100,7.47,CN,1611782714
490,pochutla,15.7432,-96.4661,90.0,50,0,7.0,MX,1611782714
491,najran,17.4924,44.1277,57.2,38,0,2.33,SA,1611782195
492,rancho palos verdes,33.7445,-118.387,57.99,58,75,16.11,US,1611782566
493,gbarnga,6.9956,-9.4722,76.95,78,0,5.1,LR,1611782715
494,sagua de tanamo,20.5819,-75.2414,82.8,62,46,6.44,CU,1611782715
495,challapata,-18.9,-66.7667,56.41,36,4,5.77,BO,1611782715
496,sinnamary,5.3833,-52.95,78.42,78,15,11.5,GF,1611782715
497,port blair,11.6667,92.75,78.58,81,72,10.27,IN,1611782455
498,weymouth,42.2209,-70.9398,36.0,80,90,6.91,US,1611782716
499,biak,-0.9131,122.8766,77.13,73,98,4.74,ID,1611782147
500,tamandare,-8.7597,-35.1047,77.5,83,58,9.19,BR,1611782716
501,deputatskiy,69.3,139.9,-22.38,89,100,2.51,RU,1611782716
502,viedma,-40.8135,-62.9967,63.0,78,100,12.12,AR,1611782716
503,camacha,33.0833,-16.3333,60.8,100,40,9.22,PT,1611782222
504,general jose eduvigis diaz,-27.1667,-58.4167,82.0,88,40,9.22,PY,1611782717
505,tondano,1.3038,124.9112,73.4,94,20,3.44,ID,1611782717
506,klaksvik,62.2266,-6.589,32.0,74,20,13.8,FO,1611782143
507,van,38.4924,43.3831,23.0,93,40,4.61,TR,1611782717
508,tual,-5.6667,132.75,83.73,77,100,17.63,ID,1611782580
509,toamasina,-18.1667,49.3833,78.8,89,75,2.3,MG,1611782718
510,sorland,67.667,12.6934,28.4,69,20,10.36,NO,1611782181
511,nyurba,63.2842,118.3319,-45.96,78,91,2.35,RU,1611782438
512,anchorage,61.2181,-149.9003,12.99,78,40,3.44,US,1611782508
513,kharan,28.5833,65.4167,48.07,35,0,6.82,PK,1611782718
514,xining,36.6167,101.7667,9.82,72,8,3.31,CN,1611782681
515,marzuq,14.4,46.4667,58.19,60,0,2.06,YE,1611782172
516,vuktyl,63.8567,57.3094,22.73,97,100,13.73,RU,1611782719
517,cascais,38.6979,-9.4215,59.0,88,100,3.0,PT,1611782719
518,pervomaysk,48.0443,30.8507,30.38,98,100,22.21,UA,1611782719
519,seoul,37.5683,126.9778,30.2,69,0,3.44,KR,1611782720
520,puerto carreno,6.189,-67.4859,93.11,38,54,14.88,CO,1611782720
521,amahai,-3.3333,128.9167,84.0,80,100,7.65,ID,1611782720
522,powell river,49.8496,-124.5361,35.6,100,90,4.07,CA,1611782664
523,socorro,31.6546,-106.3033,48.99,27,20,8.05,US,1611782720
524,qaqortoq,60.7167,-46.0333,37.4,32,75,34.52,GL,1611782175
525,muisne,0.6,-80.0333,80.6,89,75,9.22,EC,1611782292
526,mananjary,-21.2167,48.3333,77.11,89,5,4.41,MG,1611782204
527,balaipungut,1.05,101.2833,75.2,94,40,1.25,ID,1611782721
528,salinopolis,-0.6136,-47.3561,80.29,82,88,7.96,BR,1611782188
529,nova olimpia,-14.7972,-57.2881,85.48,62,100,4.03,BR,1611782533
530,rawson,-43.3002,-65.1023,71.22,30,100,15.03,AR,1611782193
531,kiama,-34.6833,150.8667,70.0,77,100,1.99,AU,1611782721
532,labuan,5.2767,115.2417,78.8,94,20,5.75,MY,1611782588
